ADMIN,code,Adolescent_Fertility_Rate,lat,lng,Country Code,Region,Income Group,Country,% of female population ages 15-19
Macao S.A.R,MAC,2,,,,East Asia & Pacific,High income,"Macao SAR, China",4
Hong Kong S.A.R.,HKG,3,,,,East Asia & Pacific,High income,"Hong Kong SAR, China",4
Switzerland,CHE,3,47,8,CHE,Europe & Central Asia,High income,Switzerland,5
Japan,JPN,4,36,138,,East Asia & Pacific,High income,Japan,4
Singapore,SGP,4,1.3667,103.8,,East Asia & Pacific,High income,Singapore,5
Cyprus,CYP,4,35,33,CYP,Europe & Central Asia,High income,Cyprus,6
Denmark,DNK,4,56,10,DNK,Europe & Central Asia,High income,Denmark,6
Netherlands,NLD,4,52.5,5.75,NLD,Europe & Central Asia,High income,Netherlands,6
Slovenia,SVN,4,46,15,SVN,Europe & Central Asia,High income,Slovenia,4
Belgium,BEL,5,50.8333,4,BEL,Europe & Central Asia,High income,Belgium,5
France,FRA,5,46,2,FRA,Europe & Central Asia,High income,France,6
Italy,ITA,5,42.8333,12.8333,ITA,Europe & Central Asia,High income,Italy,4
Luxembourg,LUX,5,49.75,6.1667,LUX,Europe & Central Asia,High income,Luxembourg,6
Norway,NOR,5,62,10,NOR,Europe & Central Asia,High income,Norway,6
Sweden,SWE,5,62,15,SWE,Europe & Central Asia,High income,Sweden,5
Finland,FIN,6,64,26,FIN,Europe & Central Asia,High income,Finland,5
Iceland,ISL,6,65,-18,ISL,Europe & Central Asia,High income,Iceland,6
Libya,LBY,6,25,17,,Middle East & North Africa,Upper middle income,Libya,8
United Arab Emirates,ARE,6,24,54,,Middle East & North Africa,High income,United Arab Emirates,6
Austria,AUT,7,47.3333,13.3333,AUT,Europe & Central Asia,High income,Austria,5
Estonia,EST,7,59,26,EST,Europe & Central Asia,High income,Estonia,4
Greece,GRC,7,39,22,GRC,Europe & Central Asia,High income,Greece,5
Ireland,IRL,7,53,-8,IRL,Europe & Central Asia,High income,Ireland,6
Spain,ESP,7,40,-4,ESP,Europe & Central Asia,High income,Spain,5
Saudi Arabia,SAU,7,25,45,,Middle East & North Africa,High income,Saudi Arabia,8
Maldives,MDV,7,3.25,73,,South Asia,Upper middle income,Maldives,7
China,CHN,8,35,105,,East Asia & Pacific,Upper middle income,China,6
Croatia,HRV,8,45.1667,15.5,HRV,Europe & Central Asia,High income,Croatia,5
Germany,DEU,8,51,9,DEU,Europe & Central Asia,High income,Germany,5
Portugal,PRT,8,39.5,-8,PRT,Europe & Central Asia,High income,Portugal,5
Kuwait,KWT,8,29.3375,47.6581,,Middle East & North Africa,High income,Kuwait,6
Tunisia,TUN,8,34,9,,Middle East & North Africa,Lower middle income,Tunisia,7
Canada,CAN,8,60,-95,,North America,High income,Canada,5
Bosnia and Herzegovina,BIH,9,44,18,BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,5
Montenegro,MNE,9,42,19,MNE,Europe & Central Asia,Upper middle income,Montenegro,6
Israel,ISR,9,31.5,34.75,,Middle East & North Africa,High income,Israel,7
Brunei,BRN,10,4.5,114.6667,,East Asia & Pacific,High income,Brunei Darussalam,8
Lithuania,LTU,10,56,24,LTU,Europe & Central Asia,High income,Lithuania,4
Poland,POL,10,52,20,POL,Europe & Central Asia,High income,Poland,4
Algeria,DZA,10,28,3,,Middle East & North Africa,Lower middle income,Algeria,7
Qatar,QAT,10,25.5,51.25,,Middle East & North Africa,High income,Qatar,6
Australia,AUS,11,-27,133,,East Asia & Pacific,High income,Australia,6
Czech Republic,CZE,12,49.75,15.5,CZE,Europe & Central Asia,High income,Czech Republic,4
Malta,MLT,12,35.8333,14.5833,,Middle East & North Africa,High income,Malta,5
India,IND,12,20,77,,South Asia,Lower middle income,India,9
Malaysia,MYS,13,2.5,112.5,,East Asia & Pacific,Upper middle income,Malaysia,9
United Kingdom,GBR,13,54,-2,GBR,Europe & Central Asia,High income,United Kingdom,5
Bahrain,BHR,13,26,50.55,,Middle East & North Africa,High income,Bahrain,7
Oman,OMN,13,21,57,,Middle East & North Africa,High income,Oman,7
New Caledonia,NCL,14,-21.5,165.5,,East Asia & Pacific,High income,New Caledonia,8
Tonga,TON,14,-20,-175,,East Asia & Pacific,Upper middle income,Tonga,10
Belarus,BLR,14,53,28,BLR,Europe & Central Asia,Upper middle income,Belarus,4
Republic of Serbia,SRB,14,,,,Europe & Central Asia,Upper middle income,Serbia,6
Lebanon,LBN,14,33.8333,35.8333,,Middle East & North Africa,Upper middle income,Lebanon,9
Kiribati,KIR,15,1.4167,173,,East Asia & Pacific,Lower middle income,Kiribati,9
