Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
Zimbabwe,109.7422,109.2926,108.843,104.3014,99.7598,95.2182,90.6766,86.135,83.2486
Zambia,141.6012,139.1486,136.696,133.3792,130.0624,126.7456,123.4288,120.112,118.3048
"Yemen, Rep.",71.2432,69.4576,67.672,66.208,64.744,63.28,61.816,60.352,59.1624
World,47.8061911685675,47.3239830919948,46.7037313021892,45.9152315917003,45.0865716334702,44.2554466344095,43.3599685286205,42.4535353223544,42.0356456135775
West Bank and Gaza,62.806,61.799,60.792,59.1868,57.5816,55.9764,54.3712,52.766,51.8828
Virgin Islands (U.S.),47.2822,46.5146,45.747,42.375,39.003,35.631,32.259,28.887,27.6482
Vietnam,33.955,35.008,36.061,35.0346,34.0082,32.9818,31.9554,30.929,29.1518
"Venezuela, RB",88.6516,88.2358,87.82,87.3234,86.8268,86.3302,85.8336,85.337,84.9792
Vanuatu,53.5948,53.0694,52.544,51.9226,51.3012,50.6798,50.0584,49.437,48.9082
Uzbekistan,21.5168,22.6534,23.79,23.79,23.79,23.79,23.79,23.79,24.2094
Uruguay,60.833,60.743,60.653,60.2678,59.8826,59.4974,59.1122,58.727,58.2386
Upper middle income,33.462952175408,33.9217238486397,34.1433498658046,34.0019595670596,33.7867047589248,33.5797326055498,33.3387244001406,33.0670049856368,32.8224326713377
United States,32.5946,30.2658,27.937,26.3216,24.7062,23.0908,21.4754,19.86,18.5562
United Kingdom,21.2306,19.8548,18.479,17.4572,16.4354,15.4136,14.3918,13.37,12.641
United Arab Emirates,22.0208,19.3954,16.77,14.7252,12.6804,10.6356,8.5908,6.546,5.8868
Ukraine,28.9362,28.4446,27.953,27.1046,26.2562,25.4078,24.5594,23.711,23.0026
Uganda,139.4264,135.6572,131.888,129.2776,126.6672,124.0568,121.4464,118.836,116.0714
Tuvalu,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,
Turkmenistan,24.7322,25.5936,26.455,26.0476,25.6402,25.2328,24.8254,24.418,24.2324
Turkey,34.1514,32.6972,31.243,30.3062,29.3694,28.4326,27.4958,26.559,25.5558
Tunisia,7.1268,7.3584,7.59,7.6402,7.6904,7.7406,7.7908,7.841,7.85
Trinidad and Tobago,36.1182,35.4616,34.805,33.862,32.919,31.976,31.033,30.09,29.3338
Tonga,17.5552,17.0786,16.602,16.214,15.826,15.438,15.05,14.662,14.3302
Togo,92.1382,91.9376,91.737,91.2078,90.6786,90.1494,89.6202,89.091,88.6878
Timor-Leste,44.6758,41.7634,38.851,37.8378,36.8246,35.8114,34.7982,33.785,32.364
Thailand,47.9138,49.7384,51.563,50.232,48.901,47.57,46.239,44.908,44.6888
Tanzania,127.276,125.218,123.16,122.205,121.25,120.295,119.34,118.385,116.926
Tajikistan,48.0976,49.2628,50.428,51.7576,53.0872,54.4168,55.7464,57.076,57.4706
Syrian Arab Republic,46.6396,44.9638,43.288,42.3488,41.4096,40.4704,39.5312,38.592,37.9512
Switzerland,3.9014,3.7022,3.503,3.355,3.207,3.059,2.911,2.763,2.6438
Sweden,5.6526,5.5328,5.413,5.3456,5.2782,5.2108,5.1434,5.076,5.1226
Suriname,68.2796,66.8848,65.49,64.723,63.956,63.189,62.422,61.655,60.6396
Sudan,92.1528,86.0804,80.008,76.805,73.602,70.399,67.196,63.993,60.796
Sub-Saharan Africa (excluding high income),115.276253225275,113.648394984798,111.999470155022,110.134459288987,108.284888195801,106.459427849524,104.645439443849,102.855177339806,101.284382425285
Sub-Saharan Africa (IDA & IBRD countries),115.176700970632,113.55241388591,111.90814056992,110.049607180282,108.206223869023,106.385944010197,104.575840549692,102.788585175762,101.220225106526
Sub-Saharan Africa,115.176700970633,113.55241388591,111.90814056992,110.049607180282,108.206223869023,106.385944010197,104.575840549692,102.788585175762,101.220225106526
St. Vincent and the Grenadines,56.276,55.392,54.508,53.4104,52.3128,51.2152,50.1176,49.02,48.1898
St. Martin (French part),,,,,,,,,
St. Lucia,45.7624,44.9632,44.164,43.4384,42.7128,41.9872,41.2616,40.536,39.8792
St. Kitts and Nevis,,,,,,,,,
Sri Lanka,22.0238,21.9354,21.847,21.6628,21.4786,21.2944,21.1102,20.926,20.6904
Spain,10.4792,9.7256,8.972,8.7226,8.4732,8.2238,7.9744,7.725,7.4904
South Sudan,86.1788,82.1264,78.074,74.8672,71.6604,68.4536,65.2468,62.04,59.4332
South Asia (IDA & IBRD),43.3104530606295,40.6595839220271,38.0078949169445,35.5715016377883,33.1144994870789,30.6349804819207,28.1174953037681,25.584972419587,24.5230468897055
South Asia,43.3104530606295,40.6595839220271,38.0078949169445,35.5715016377883,33.1144994870789,30.6349804819207,28.1174953037681,25.584972419587,24.5230468897055
South Africa,70.0888,71.0324,71.976,71.1624,70.3488,69.5352,68.7216,67.908,67.8488
Somalia,117.0728,113.7244,110.376,108.3178,106.2596,104.2014,102.1432,100.085,97.6452
Solomon Islands,71.8502,74.9266,78.003,78.003,78.003,78.003,78.003,78.003,78.4116
Small states,65.0378875180725,64.0263031805616,63.0538189868389,62.3050849202968,61.5494108127045,60.761922156632,59.9061823397488,59.0154086245649,58.0040254559252
Slovenia,4.9044,4.8172,4.73,4.5392,4.3484,4.1576,3.9668,3.776,3.6524
Slovak Republic,21.9232,22.1936,22.464,23.108,23.752,24.396,25.04,25.684,25.9352
Sint Maarten (Dutch part),,,,,,,,,
Singapore,4.7298,4.3194,3.909,3.8332,3.7574,3.6816,3.6058,3.53,3.5134
Sierra Leone,134.3892,130.4906,126.592,123.8392,121.0864,118.3336,115.5808,112.828,110.2282
Seychelles,60.7498,61.0294,61.309,61.4572,61.6054,61.7536,61.9018,62.05,61.2244
Serbia,20.1792,19.4716,18.764,17.9524,17.1408,16.3292,15.5176,14.706,14.1444
Senegal,87.5702,85.5856,83.601,81.4258,79.2506,77.0754,74.9002,72.725,70.716
Saudi Arabia,11.1736,10.7918,10.41,9.7928,9.1756,8.5584,7.9412,7.324,7.097
Sao Tome and Principe,102.6524,101.5492,100.446,99.2788,98.1116,96.9444,95.7772,94.61,93.3376
San Marino,,,,,,,,,
Samoa,29.6202,28.9356,28.251,27.378,26.505,25.632,24.759,23.886,23.2952
Rwanda,40.495,40.52,40.545,40.2588,39.9726,39.6864,39.4002,39.114,38.852
Russian Federation,27.7092,27.0646,26.42,25.2758,24.1316,22.9874,21.8432,20.699,19.6196
Romania,38.5894,37.5752,36.561,36.491,36.421,36.351,36.281,36.211,35.535
Qatar,12.8584,12.0632,11.268,10.9988,10.7296,10.4604,10.1912,9.922,9.5896
Puerto Rico,47.5972,46.5956,45.594,42.2948,38.9956,35.6964,32.3972,29.098,28.3068
Pre-demographic dividend,123.85524272902,121.767514517932,119.659650953457,117.468374216075,115.290490736471,113.141618546237,111.021390804945,108.928808496817,107.124923531955
Post-demographic dividend,18.6595452181226,17.604254776593,16.523128037495,15.7265650555508,14.9345679995352,14.1571417784183,13.3974612814477,12.6489661926784,12.0591187387328
Portugal,13.3428,12.3784,11.414,10.8072,10.2004,9.5936,8.9868,8.38,8.0012
Poland,14.9762,14.6546,14.333,13.574,12.815,12.056,11.297,10.538,10.1692
Philippines,56.2002,56.7396,57.279,56.654,56.029,55.404,54.779,54.154,54.7592
Peru,66.0112,64.1646,62.318,61.2308,60.1436,59.0564,57.9692,56.882,55.9518
Paraguay,75.0962,74.0116,72.927,72.4424,71.9578,71.4732,70.9886,70.504,70.1824
Papua New Guinea,58.3852,57.4796,56.574,55.7902,55.0064,54.2226,53.4388,52.655,51.982
Panama,87.2886,87.0748,86.861,85.8544,84.8478,83.8412,82.8346,81.828,81.0386
Palau,,,,,,,,,
Pakistan,42.3362,41.9206,41.505,40.9644,40.4238,39.8832,39.3426,38.802,38.2106
Pacific island small states,47.8203968753309,48.5767285063337,49.3773885897424,49.5841947489655,49.7808273940131,49.9837323914172,50.1762967152454,50.4195006121864,50.5431962001075
Other small states,67.4747328251149,66.4734839493409,65.5340819622227,64.8203973722478,64.1005351368524,63.3341464928022,62.4731130718578,61.5514220823907,60.4489882118786
Oman,14.4338,14.7134,14.993,14.6056,14.2182,13.8308,13.4434,13.056,12.6964
OECD members,28.9075886316425,27.9037465989107,26.8449862858603,25.9941931623908,25.150485591135,24.3319579806427,23.5200359858599,22.7283281458296,22.0996238362439
Not classified,,,,,,,,,
Norway,7.1886,6.6138,6.039,5.8594,5.6798,5.5002,5.3206,5.141,5.1048
Northern Mariana Islands,,,,,,,,,
North Macedonia,19.0902,18.5546,18.019,17.5598,17.1006,16.6414,16.1822,15.723,15.162
North America,30.7524460570081,28.5936623498961,26.4355245365078,24.9141341936224,23.3992229635975,21.8899735487449,20.3731213412371,18.8554418232832,17.6419501986564
Nigeria,119.5004,118.2752,117.05,115.106,113.162,111.218,109.274,107.33,105.447
Niger,204.293,202.518,200.743,197.902,195.061,192.22,189.379,186.538,183.5134
Nicaragua,97.2976,95.6208,93.944,92.1532,90.3624,88.5716,86.7808,84.99,83.3048
New Zealand,25.7978,24.3634,22.929,22.1972,21.4654,20.7336,20.0018,19.27,18.6046
New Caledonia,18.9734,18.3332,17.693,17.1204,16.5478,15.9752,15.4026,14.83,14.4552
Netherlands,4.7864,4.6172,4.448,4.316,4.184,4.052,3.92,3.788,3.7028
Nepal,81.2006,78.6348,76.069,73.8794,71.6898,69.5002,67.3106,65.121,64.399
Nauru,,,,,,,,,
Namibia,79.8124,79.3972,78.982,75.911,72.84,69.769,66.698,63.627,61.632
Myanmar,31.1472,30.4866,29.826,29.5626,29.2992,29.0358,28.7724,28.509,28.2066
Mozambique,163.8182,161.4816,159.145,157.0412,154.9374,152.8336,150.7298,148.626,146.2508
Morocco,33.256,33.437,33.618,33.1012,32.5844,32.0676,31.5508,31.034,30.681
Montenegro,15.4848,14.4074,13.33,12.5266,11.7232,10.9198,10.1164,9.313,8.781
Mongolia,23.6306,25.1058,26.581,27.4634,28.3458,29.2282,30.1106,30.993,31.4384
Monaco,,,,,,,,,
Moldova,26.3258,26.0464,25.767,25.0966,24.4262,23.7558,23.0854,22.415,22.1802
Middle income,44.9346664791075,44.4480162365954,43.7915205107616,42.8567489632231,41.8735864539598,40.8901294516504,39.8632936612952,38.8212704898419,38.3597597803549
Middle East & North Africa (excluding high income),42.7653388595627,43.5058002582843,44.2623978846322,44.3373209634979,44.3414938287599,44.2590157602852,44.0989025813747,43.8906160685692,43.6236748642431
Middle East & North Africa (IDA & IBRD countries),42.4911772885137,43.2467371456431,44.0216522111672,44.116299898181,44.1411924432457,44.0797034922147,43.9409738193076,43.754576149965,43.497200602414
Middle East & North Africa,39.4521806264201,40.0251119377137,40.6309626496809,40.6395043735482,40.6017724457825,40.4988228269663,40.2426989322918,39.9706780005772,39.7044596608902
"Micronesia, Fed. Sts.",21.304,19.93,18.556,17.6296,16.7032,15.7768,14.8504,13.924,13.2274
